"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1984","Stratum_1"," [kg]",25286309.5087233,5025271.62098653,0.198734877434483
"1","1985","Stratum_1"," [kg]",0,0,0
"1","1986","Stratum_1"," [kg]",0,0,0
"1","1987","Stratum_1"," [kg]",71504935.0221573,12149152.0195954,0.169906482899827
"1","1988","Stratum_1"," [kg]",0,0,0
"1","1989","Stratum_1"," [kg]",0,0,0
"1","1990","Stratum_1"," [kg]",54601924.6122193,13701637.6253261,0.250936898701549
"1","1991","Stratum_1"," [kg]",0,0,0
"1","1992","Stratum_1"," [kg]",0,0,0
"1","1993","Stratum_1"," [kg]",55636157.3514916,12318250.2585093,0.221407279814212
"1","1994","Stratum_1"," [kg]",0,0,0
"1","1995","Stratum_1"," [kg]",0,0,0
"1","1996","Stratum_1"," [kg]",77361633.850815,24895761.8191589,0.32181018652176
"1","1997","Stratum_1"," [kg]",0,0,0
"1","1998","Stratum_1"," [kg]",0,0,0
"1","1999","Stratum_1"," [kg]",60457903.4475146,12831691.0976395,0.212241747826719
"1","2000","Stratum_1"," [kg]",0,0,0
"1","2001","Stratum_1"," [kg]",148748666.285788,38021781.5467986,0.255610907285367
"1","2002","Stratum_1"," [kg]",0,0,0
"1","2003","Stratum_1"," [kg]",39116998.4363692,8630864.97360048,0.220642312002546
"1","2004","Stratum_1"," [kg]",0,0,0
"1","2005","Stratum_1"," [kg]",173847621.081156,44748608.1933317,0.257401326029317
"1","2006","Stratum_1"," [kg]",0,0,0
"1","2007","Stratum_1"," [kg]",103983543.955098,26421769.3646782,0.254095680525061
"1","2008","Stratum_1"," [kg]",0,0,0
"1","2009","Stratum_1"," [kg]",38522886.7613467,8105756.90302343,0.210414057317133
"1","2010","Stratum_1"," [kg]",0,0,0
"1","2011","Stratum_1"," [kg]",74821502.2395623,20434943.0258526,0.273115914732965
"1","2012","Stratum_1"," [kg]",0,0,0
"1","2013","Stratum_1"," [kg]",148155724.156805,39993465.4395137,0.269942087402479
"1","2014","Stratum_1"," [kg]",0,0,0
"1","2015","Stratum_1"," [kg]",42258175.8706464,12458774.9560933,0.294825195347522
"1","2016","Stratum_1"," [kg]",0,0,0
"1","2017","Stratum_1"," [kg]",71053075.7710014,19117875.0648465,0.269064707718803
"1","2018","Stratum_1"," [kg]",0,0,0
"1","2019","Stratum_1"," [kg]",50657933.2309093,14017424.4584091,0.276707389433256
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",40672186.6553285,12310179.9370826,0.302668259304661
