"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1984","Stratum_1"," [kg]",1523688832.79075,265890276.76744,0.174504315477881
"1","1985","Stratum_1"," [kg]",0,0,0
"1","1986","Stratum_1"," [kg]",0,0,0
"1","1987","Stratum_1"," [kg]",1446908684.48398,232500020.746353,0.160687418107018
"1","1988","Stratum_1"," [kg]",0,0,0
"1","1989","Stratum_1"," [kg]",0,0,0
"1","1990","Stratum_1"," [kg]",2472036017.59632,403934095.257046,0.16340137942238
"1","1991","Stratum_1"," [kg]",0,0,0
"1","1992","Stratum_1"," [kg]",0,0,0
"1","1993","Stratum_1"," [kg]",1402250076.41321,205457957.510345,0.146520197050645
"1","1994","Stratum_1"," [kg]",0,0,0
"1","1995","Stratum_1"," [kg]",0,0,0
"1","1996","Stratum_1"," [kg]",1268611743.57898,154499078.896906,0.121785944106931
"1","1997","Stratum_1"," [kg]",0,0,0
"1","1998","Stratum_1"," [kg]",0,0,0
"1","1999","Stratum_1"," [kg]",1005801723.87097,145306691.393134,0.144468524903597
"1","2000","Stratum_1"," [kg]",0,0,0
"1","2001","Stratum_1"," [kg]",443527554.170884,81341664.8646235,0.183397094723193
"1","2002","Stratum_1"," [kg]",0,0,0
"1","2003","Stratum_1"," [kg]",987633012.340176,135094324.643563,0.136785954859345
"1","2004","Stratum_1"," [kg]",0,0,0
"1","2005","Stratum_1"," [kg]",677701568.134885,88436336.1350103,0.130494513061845
"1","2006","Stratum_1"," [kg]",0,0,0
"1","2007","Stratum_1"," [kg]",507451778.529152,62488430.4714148,0.123141612888888
"1","2008","Stratum_1"," [kg]",0,0,0
"1","2009","Stratum_1"," [kg]",1145505626.01909,139855798.275447,0.122090887289205
"1","2010","Stratum_1"," [kg]",0,0,0
"1","2011","Stratum_1"," [kg]",1346310067.56277,168874933.391686,0.125435393718329
"1","2012","Stratum_1"," [kg]",0,0,0
"1","2013","Stratum_1"," [kg]",1434237197.53251,220529791.369213,0.153761031821387
"1","2014","Stratum_1"," [kg]",0,0,0
"1","2015","Stratum_1"," [kg]",1211747031.60559,142006410.320517,0.117191465393859
"1","2016","Stratum_1"," [kg]",0,0,0
"1","2017","Stratum_1"," [kg]",454421368.896545,62540435.1267119,0.137626527728167
"1","2018","Stratum_1"," [kg]",0,0,0
"1","2019","Stratum_1"," [kg]",639671325.865725,85036729.4503138,0.132938160601815
"1","2020","Stratum_1"," [kg]",0,0,0
"1","2021","Stratum_1"," [kg]",1103414158.54347,154676402.020318,0.140179823525641
